pais;mmm-aa;Interanual;Acum. desde Enero;Variacion mensual
Chile;01-09-2021;0,053;0,044;0,012
Chile;02-09-2021;0,048;0,032;0,004
Chile;03-09-2021;0,045;0,028;0,008
Chile;04-09-2021;0,038;0,02;0,001
Chile;05-09-2021;0,037;0,019;0,003
Chile;06-09-2021;0,033;0,017;0,004
Chile;07-09-2021;0,029;0,013;0,004
Chile;08-09-2021;0,029;0,009;0,002
Chile;09-09-2021;0,031;0,007;0,007
Chile;10-09-2021;0,03;0,03;0,003
Chile;11-09-2021;0,027;0,026;-0,001
Chile;12-09-2021;0,03;0,028;0,007
Chile;13-09-2021;0,031;0,021;0,006
Bolivia;14-09-2021;0,01;0,008;-0,002
Bolivia;15-09-2021;0,002;0,01;0,005
Bolivia;16-09-2021;0,002;0,004;0,002
Bolivia;17-09-2021;0,002;0,003;0
Bolivia;18-09-2021;0,005;0,003;-0,002
Bolivia;19-09-2021;0,007;0,005;-0,001
Bolivia;20-09-2021;0,012;0,005;-0,001
Bolivia;21-09-2021;0,014;0,006;0,002
Bolivia;22-09-2021;0,012;0,005;0,005
Bolivia;23-09-2021;0,007;0,007;0,002
Bolivia;24-09-2021;-0,011;0,005;-0,003
Bolivia;25-09-2021;0,003;0,007;0,003
Bolivia;26-09-2021;0,005;0,005;-0,01
Argentina;27-09-2021;0,525;0,37;0,036
Argentina;28-09-2021;0,514;0,323;0,025
Argentina;29-09-2021;0,518;0,291;0,03
Argentina;30-09-2021;0,502;0,253;0,032
Argentina;01-10-2021;0,488;0,215;0,033
Argentina;02-10-2021;0,463;0,176;0,041
Argentina;03-10-2021;0,427;0,13;0,048
Argentina;04-10-2021;0,407;0,078;0,036
Argentina;05-10-2021;0,385;0,041;0,041
Argentina;06-10-2021;0,361;0,361;0,04
Argentina;07-10-2021;0,358;0,309;0,032
Argentina;08-10-2021;0,372;0,269;0,038
Argentina;09-10-2021;0,366;0,223;0,028
Venezuela;10-10-2021;19,46;5,313;0,071
Venezuela;11-10-2021;23,439;4,895;0,198
Venezuela;12-10-2021;24,444;3,922;0,167
Venezuela;13-10-2021;25,079;3,22;0,157
Venezuela;14-10-2021;27,195;2,648;0,285
Venezuela;15-10-2021;29,408;1,838;0,246
Venezuela;16-10-2021;30,122;1,278;0,161
Venezuela;17-10-2021;29,367;0,962;0,338
Venezuela;18-10-2021;26,654;0,466;0,466
Venezuela;19-10-2021;29,598;29,598;0,775
Venezuela;20-10-2021;21,677;16,241;0,4
Venezuela;21-10-2021;19,367;11,318;0,305
Venezuela;22-10-2021;18,131;8,441;0,279
